points,vdot_lo,vdot_hi,quality,presc_key,amount
15,76,80,R,reps_800m,6
20,0,39,L,km,16
20,0,39,M,km,8
20,0,39,T,km,6
20,0,39,T,reps_1600m,4
20,0,39,I,reps_400m,10
20,0,39,I,reps_1000m,4
20,0,39,R,reps_200m,14
20,0,39,R,reps_400m,7
20,40,45,L,km,17.6
20,40,45,M,km,8.8
20,40,45,T,km,7
20,40,45,T,reps_1600m,4
20,40,45,I,reps_400m,11
20,40,45,I,reps_1000m,4
20,40,45,R,reps_200m,16
20,40,45,R,reps_400m,8
20,46,50,L,km,19.2
20,46,50,M,km,9.6
20,46,50,T,km,8
20,46,50,T,reps_1600m,5
20,46,50,I,reps_400m,12
20,46,50,I,reps_1000m,5
20,46,50,I,reps_1200m,4
20,46,50,R,reps_200m,19
20,46,50,R,reps_400m,9
20,51,55,L,km,20.8
20,51,55,M,km,10.4
20,51,55,T,km,8
20,51,55,T,reps_1600m,5
20,51,55,I,reps_400m,13
20,51,55,I,reps_1000m,5
20,51,55,I,reps_1200m,4
20,51,55,R,reps_200m,20
20,51,55,R,reps_400m,10
20,51,55,R,reps_600m,7
20,56,60,L,km,22.4
20,56,60,M,km,11.2
20,56,60,T,km,9
20,56,60,T,reps_1600m,5
20,56,60,I,reps_400m,15
20,56,60,I,reps_1000m,6
20,56,60,I,reps_1200m,5
20,56,60,R,reps_200m,22
20,56,60,R,reps_400m,11
20,56,60,R,reps_600m,8
20,61,65,L,km,24
20,61,65,M,km,12
20,61,65,T,km,9
20,61,65,T,reps_1600m,6
20,61,65,I,reps_400m,15
20,61,65,I,reps_1000m,6
20,61,65,I,reps_1200m,5
20,61,65,R,reps_1600m,4
20,61,65,R,reps_200m,24
20,61,65,R,reps_400m,12
20,61,65,R,reps_600m,8
20,66,70,L,km,25.6
20,66,70,M,km,12.8
20,66,70,T,km,10
20,66,70,T,reps_1600m,6
20,66,70,I,reps_400m,17
20,66,70,I,reps_1000m,7
20,66,70,I,reps_1200m,6
20,66,70,R,reps_1600m,4
20,66,70,R,reps_200m,26
20,66,70,R,reps_400m,13
20,66,70,R,reps_600m,8
20,66,70,R,reps_800m,5
20,71,75,L,km,27.2
20,71,75,M,km,13.6
20,71,75,T,km,11
20,71,75,T,reps_1600m,6
20,71,75,I,reps_400m,18
20,71,75,I,reps_1000m,7
20,71,75,I,reps_1200m,6
20,71,75,R,reps_1600m,4
20,71,75,R,reps_200m,26
20,71,75,R,reps_400m,13
20,71,75,R,reps_600m,9
20,71,75,R,reps_800m,6
20,76,80,L,km,28.8
20,76,80,M,km,14.4
20,76,80,T,km,12
20,76,80,T,reps_1600m,7
20,76,80,I,reps_400m,18
20,76,80,I,reps_1000m,7
20,76,80,I,reps_1200m,6
20,76,80,R,reps_1600m,4
20,76,80,R,reps_200m,28
20,76,80,R,reps_400m,14
20,76,80,R,reps_600m,9
20,76,80,R,reps_800m,7
25,0,39,L,km,20.8
25,0,39,M,km,11.2
25,0,39,T,km,8
25,0,39,T,reps_1600m,5
25,0,39,I,reps_400m,13
25,0,39,I,reps_1000m,5
25,0,39,R,reps_200m,19
25,0,39,R,reps_400m,9
25,40,45,L,km,20.8
25,40,45,M,km,11.2
25,40,45,T,km,8
25,40,45,T,reps_1600m,5
25,40,45,I,reps_400m,14
25,40,45,I,reps_1000m,5
25,40,45,R,reps_200m,20
25,40,45,R,reps_400m,10
25,46,50,L,km,24
25,46,50,M,km,12.8
25,46,50,T,km,10
25,46,50,T,reps_1600m,6
25,46,50,I,reps_400m,16
25,46,50,I,reps_1000m,6
25,46,50,I,reps_1200m,5
25,46,50,R,reps_200m,23
25,46,50,R,reps_400m,11
25,51,55,L,km,25.6
25,51,55,M,km,13.6
25,51,55,T,km,10
25,51,55,T,reps_1600m,6
25,51,55,I,reps_400m,17
25,51,55,I,reps_1000m,7
25,51,55,I,reps_1200m,5
25,51,55,R,reps_200m,25
25,51,55,R,reps_400m,12
25,51,55,R,reps_600m,8
25,56,60,L,km,28.8
25,56,60,M,km,14.4
25,56,60,T,km,12
25,56,60,T,reps_1600m,7
25,56,60,I,reps_400m,18
25,56,60,I,reps_1000m,7
25,56,60,I,reps_1200m,6
25,56,60,R,reps_200m,26
25,56,60,R,reps_400m,13
25,56,60,R,reps_600m,8
25,61,65,L,km,30.4
25,61,65,M,km,16
25,61,65,T,km,13
25,61,65,T,reps_1600m,7
25,61,65,I,reps_400m,20
25,61,65,I,reps_1000m,8
25,61,65,I,reps_1200m,6
25,61,65,R,reps_1600m,5
25,61,65,R,reps_200m,27
25,61,65,R,reps_400m,13
25,61,65,R,reps_600m,9
25,66,70,L,km,32
25,66,70,M,km,17.6
25,66,70,T,km,13
25,66,70,T,reps_1600m,8
25,66,70,I,reps_400m,21
25,66,70,I,reps_1000m,8
25,66,70,I,reps_1200m,7
25,66,70,R,reps_1600m,5
25,66,70,R,reps_200m,29
25,66,70,R,reps_400m,14
25,66,70,R,reps_600m,9
25,66,70,R,reps_800m,7
25,71,75,L,km,33.6
25,71,75,M,km,19.2
25,71,75,T,km,14
25,71,75,T,reps_1600m,8
25,71,75,I,reps_400m,22
25,71,75,I,reps_1000m,9
25,71,75,I,reps_1200m,7
25,71,75,R,reps_1600m,6
25,71,75,R,reps_200m,30
25,71,75,R,reps_400m,15
25,71,75,R,reps_600m,10
25,71,75,R,reps_800m,7
25,76,80,L,km,35.2
25,76,80,M,km,19.2
25,76,80,T,km,15
25,76,80,T,reps_1600m,9
25,76,80,I,reps_400m,23
25,76,80,I,reps_1000m,9
25,76,80,I,reps_1200m,8
25,76,80,R,reps_1600m,6
25,76,80,R,reps_200m,32
25,76,80,R,reps_400m,16
25,76,80,R,reps_600m,10
25,76,80,R,reps_800m,8
30,0,39,L,km,24
30,0,39,M,km,12.8
30,0,39,T,km,10
30,0,39,T,reps_1600m,6
30,0,39,I,reps_400m,16
30,0,39,I,reps_1000m,6
30,0,39,R,reps_200m,22
30,0,39,R,reps_400m,11
30,40,45,L,km,25.6
30,40,45,M,km,19.2
30,40,45,T,km,11
30,40,45,T,reps_1600m,7
30,40,45,I,reps_400m,17
30,40,45,I,reps_1000m,7
30,40,45,R,reps_200m,25
30,40,45,R,reps_400m,12
30,46,50,L,km,28.8
30,46,50,M,km,20.8
30,46,50,T,km,12
30,46,50,T,reps_1600m,8
30,46,50,I,reps_400m,19
30,46,50,I,reps_1000m,7
30,46,50,I,reps_1200m,6
30,46,50,R,reps_200m,27
30,46,50,R,reps_400m,13
30,51,55,L,km,30.4
30,51,55,M,km,24
30,51,55,T,km,13
30,51,55,T,reps_1600m,8
30,51,55,I,reps_400m,20
30,51,55,I,reps_1000m,8
30,51,55,I,reps_1200m,7
30,51,55,R,reps_200m,30
30,51,55,R,reps_400m,15
30,51,55,R,reps_600m,10
30,56,60,L,km,32
30,56,60,M,km,25.6
30,56,60,T,km,14
30,56,60,T,reps_1600m,9
30,56,60,I,reps_400m,22
30,56,60,I,reps_1000m,8
30,56,60,I,reps_1200m,7
30,56,60,R,reps_200m,32
30,56,60,R,reps_400m,16
30,56,60,R,reps_600m,10
30,61,65,L,km,33.6
30,61,65,M,km,27.2
30,61,65,T,km,15
30,61,65,T,reps_1600m,9
30,61,65,I,reps_400m,23
30,61,65,I,reps_1000m,9
30,61,65,I,reps_1200m,8
30,61,65,R,reps_1600m,5
30,61,65,R,reps_200m,34
30,61,65,R,reps_400m,17
30,61,65,R,reps_600m,11
30,66,70,L,km,36.8
30,66,70,M,km,28.8
30,66,70,T,km,16
30,66,70,T,reps_1600m,10
30,66,70,I,reps_400m,25
30,66,70,I,reps_1000m,10
30,66,70,I,reps_1200m,8
30,66,70,R,reps_1600m,6
30,66,70,R,reps_200m,36
30,66,70,R,reps_400m,18
30,66,70,R,reps_600m,12
30,66,70,R,reps_800m,9
30,71,75,L,km,38.4
30,71,75,M,km,30.4
30,71,75,T,km,17
30,71,75,T,reps_1600m,11
30,71,75,I,reps_400m,26
30,71,75,I,reps_1000m,10
30,71,75,I,reps_1200m,8
30,71,75,R,reps_1600m,6
30,71,75,R,reps_200m,40
30,71,75,R,reps_400m,20
30,71,75,R,reps_600m,13
30,71,75,R,reps_800m,9
30,76,80,L,km,40
30,76,80,M,km,32
30,76,80,T,km,18
30,76,80,T,reps_1600m,11
30,76,80,I,reps_400m,26
30,76,80,I,reps_1000m,10
30,76,80,I,reps_1200m,9
30,76,80,R,reps_1600m,6
30,76,80,R,reps_200m,40
30,76,80,R,reps_400m,20
30,76,80,R,reps_600m,13
30,76,80,R,reps_800m,10
