vdot,intensity,distance_m,seconds
50,E,1000,318.0
50,E,1609.34,512.0
50,I,400,93.0
50,I,1000,235.0
50,I,1200,281.0
50,M,1000,271.0
50,M,1609.34,437.0
50,R,200,43.0
50,R,300,65.0
50,R,400,87.0
50,T,400,102.0
50,T,800,204.0
50,T,1000,255.0
50,T,1609.34,410.0
51,E,1000,313.0
51,E,1609.34,504.0
51,I,400,92.0
51,I,1000,231.0
51,I,1200,276.0
51,M,1000,267.0
51,M,1609.34,429.0
51,R,200,43.0
51,R,300,64.0
51,R,400,86.0
51,T,400,100.0
51,T,800,201.0
51,T,1000,251.0
51,T,1609.34,404.0
52,E,1000,308.0
52,E,1609.34,496.0
52,I,400,91.0
52,I,1000,228.0
52,I,1200,273.0
52,M,1000,262.0
52,M,1609.34,422.0
52,R,200,42.0
52,R,300,64.0
52,R,400,85.0
52,T,400,98.0
52,T,800,197.0
52,T,1000,247.0
52,T,1609.34,398.0
53,E,1000,304.0
53,E,1609.34,489.0
53,I,400,90.0
53,I,1000,224.0
53,I,1200,269.0
53,M,1000,258.0
53,M,1609.34,416.0
53,R,200,42.0
53,R,300,63.0
53,R,400,84.0
53,T,400,97.0
53,T,800,195.0
53,T,1000,244.0
53,T,1609.34,392.0
54,E,1000,299.0
54,E,1609.34,481.0
54,I,400,88.0
54,I,1000,221.0
54,I,1200,265.0
54,M,1000,254.0
54,M,1609.34,409.0
54,R,200,41.0
54,R,300,62.0
54,R,400,82.0
54,T,400,95.0
54,T,800,192.0
54,T,1000,240.0
54,T,1609.34,386.0
55,E,1000,295.0
55,E,1609.34,474.0
55,I,400,87.0
55,I,1000,217.0
55,I,1200,261.0
55,M,1000,250.0
55,M,1609.34,403.0
55,R,200,40.0
55,R,300,61.0
55,R,400,81.0
55,T,400,94.0
55,T,800,189.0
55,T,1000,236.0
55,T,1609.34,380.0
56,E,1000,290.0
56,E,1609.34,468.0
56,I,400,86.0
56,I,1000,214.0
56,I,1200,258.0
56,M,1000,246.0
56,M,1609.34,397.0
56,R,200,40.0
56,R,300,60.0
56,R,400,80.0
56,R,600,120.0
56,T,400,93.0
56,T,800,186.0
56,T,1000,233.0
56,T,1609.34,375.0
57,E,1000,286.0
57,E,1609.34,461.0
57,I,400,85.0
57,I,1000,211.0
57,I,1200,255.0
57,M,1000,243.0
57,M,1609.34,391.0
57,R,200,39.0
57,R,300,59.0
57,R,400,79.0
57,R,600,117.0
57,T,400,91.0
57,T,800,184.0
57,T,1000,230.0
57,T,1609.34,369.0
58,E,1000,282.0
58,E,1609.34,454.0
58,I,400,83.0
58,I,1000,208.0
58,I,1200,250.0
58,M,1000,239.0
58,M,1609.34,385.0
58,R,200,38.0
58,R,300,58.0
58,R,400,77.0
58,R,600,114.0
58,T,400,90.0
58,T,800,180.0
58,T,1000,225.0
58,T,1609.34,364.0
59,E,1000,278.0
59,E,1609.34,448.0
59,I,400,82.0
