pct_vdot,points_per_min
59,0.100
60,0.110
61,0.122
62,0.135
63,0.150
64,0.167
65,0.183
66,0.200
67,0.217
68,0.233
69,0.250
70,0.267
71,0.283
72,0.300
73,0.317
74,0.333
75,0.350
76,0.367
77,0.392
78,0.417
79,0.442
80,0.467
81,0.492
82,0.517
83,0.550
84,0.583
85,0.600
86,0.617
87,0.650
88,0.683
89,0.700
90,0.722
91,0.763
92,0.800
93,0.840
94,0.883
95,0.900
96,0.917
97,0.940
98,0.960
99,0.983
100,1.000
105,1.250
110,1.500
115,1.750
120,2.100
