vdot,distance_m,seconds
47,16093.4,4344.0
47,20000,5479.0
47,21097.5,5798.0
47,25000,6956.0
47,30000,8440.0
47,42195.0,12060.0
48,1500,336.0
48,1609.34,363.0
48,3000,718.0
48,3218.69,775.0
48,5000,1239.0
48,8000,2038.0
48,8045.47,2050.0
48,10000,2570.0
48,15000,3953.0
48,16093.4,4265.0
48,20000,5380.0
48,21097.5,5693.0
48,25000,6832.0
48,30000,8291.0
48,42195.0,11849.0
49,1500,330.0
49,1609.34,356.0
49,3000,705.0
49,3218.69,761.0
49,5000,1218.0
49,8000,2002.0
49,8045.47,2014.0
49,10000,2524.0
49,15000,3884.0
49,16093.4,4190.0
49,20000,5285.0
49,21097.5,5592.0
49,25000,6712.0
49,30000,8147.0
49,42195.0,11646.0
50,1500,324.0
50,1609.34,350.0
50,3000,693.0
50,3218.69,748.0
50,5000,1197.0
50,8000,1967.0
50,8045.47,1979.0
50,10000,2481.0
50,15000,3816.0
50,16093.4,4117.0
50,20000,5193.0
50,21097.5,5495.0
50,25000,6596.0
50,30000,8007.0
50,42195.0,11449.0
51,1500,318.0
51,1609.34,344.0
51,3000,681.0
51,3218.69,735.0
51,5000,1176.0
51,8000,1934.0
51,8045.47,1946.0
51,10000,2439.0
51,15000,3751.0
51,16093.4,4047.0
51,20000,5105.0
51,21097.5,5402.0
51,25000,6485.0
51,30000,7873.0
51,42195.0,11259.0
52,1500,313.0
52,1609.34,338.0
52,3000,669.0
52,3218.69,722.0
52,5000,1157.0
52,8000,1902.0
52,8045.47,1914.0
52,10000,2399.0
52,15000,3689.0
52,16093.4,3980.0
52,20000,5019.0
52,21097.5,5311.0
52,25000,6377.0
52,30000,7744.0
52,42195.0,11076.0
53,1500,307.0
53,1609.34,332.0
53,3000,658.0
53,3218.69,710.0
53,5000,1138.0
53,8000,1871.0
53,8045.47,1883.0
53,10000,2360.0
53,15000,3628.0
53,16093.4,3914.0
53,20000,4937.0
53,21097.5,5224.0
53,25000,6274.0
53,30000,7619.0
53,42195.0,10899.0
54,1500,302.0
54,1609.34,327.0
54,3000,647.0
54,3218.69,699.0
54,5000,1120.0
54,8000,1841.0
54,8045.47,1852.0
54,10000,2322.0
54,15000,3570.0
54,16093.4,3852.0
54,20000,4857.0
54,21097.5,5140.0
54,25000,6173.0
54,30000,7498.0
54,42195.0,10727.0
55,1500,297.0
55,1609.34,321.0
55,3000,637.0
55,3218.69,688.0
55,5000,1102.0
55,8000,1812.0
55,8045.47,1823.0
55,10000,2286.0
55,15000,3513.0
55,16093.4,3790.0
55,20000,4780.0
55,21097.5,5058.0
55,25000,6076.0
55,30000,7380.0
55,42195.0,10561.0
56,1500,293.0
56,1609.34,316.0
56,3000,627.0
56,3218.69,677.0
56,5000,1085.0
56,8000,1785.0
56,8045.47,1795.0
56,10000,2251.0
56,15000,3459.0
56,16093.4,3732.0
56,20000,4706.0
56,21097.5,4980.0
56,25000,5983.0
56,30000,7267.0
56,42195.0,10400.0
57,1500,288.0
57,1609.34,311.0
57,3000,617.0
57,3218.69,666.0
57,5000,1069.0
57,8000,1758.0
57,8045.47,1769.0
57,10000,2217.0
57,15000,3406.0
57,16093.4,3674.0
57,20000,4634.0
57,21097.5,4903.0
57,25000,5891.0
57,30000,7157.0
57,42195.0,10245.0
58,1500,284.0
58,1609.34,306.0
58,3000,608.0
58,3218.69,656.0
58,5000,1053.0
58,8000,1732.0
58,8045.47,1742.0
58,10000,2184.0
58,15000,3355.0
58,16093.4,3620.0
58,20000,4565.0
58,21097.5,4830.0
58,25000,5804.0
58,30000,7051.0
58,42195.0,10094.0
59,1500,279.0
59,1609.34,302.0
59,3000,598.0
59,3218.69,646.0
59,5000,1037.0
59,8000,1706.0
59,8045.47,1716.0
59,10000,2152.0
59,15000,3306.0
59,16093.4,3566.0
59,20000,4497.0
59,21097.5,4758.0
59,25000,5718.0
59,30000,6948.0
59,42195.0,9947.0
60,1500,275.0
